ComplexID	ComplexName	subunits(UniProt IDs)	subunits(Gene name)
62	MeCP1 complex	O94776;O95983;Q09028;Q13547;Q14839;Q16576;Q92769;Q9UBB5	MTA2;MBD3;RBBP4;HDAC1;CHD4;RBBP7;HDAC2;MBD2
66	TRAP complex	O60244;O75448;P10827;Q15648;Q93074;Q9NVC6;Q9Y2W1;Q9Y2X0	MED14;MED24;THRA;MED1;MED12;MED17;THRAP3;MED16
67	AP4 adaptor complex	O00189;Q9UPM8;Q9Y587;Q9Y6B7	AP4M1;AP4E1;AP4S1;AP4B1
68	BCDX2 complex	O15315;O43502;O43543;O75771	RAD51B;RAD51C;XRCC2;RAD51D
72	R/M complex (RAD50-MRE11 complex)	P49959;Q92878	MRE11;RAD50
74	HOMER3-IP3R-TRPC1 complex	P48995;Q14573;Q9NSC5	TRPC1;ITPR3;HOMER3
81	"Ubiquitin E3 ligase (SKP1A, FBXW8, CUL7, RBX1)"	P62877;P63208;Q14999;Q8N3Y1	RBX1;SKP1;CUL7;FBXW8
86	NUMAC complex (nucleosomal methylation activator complex)	O14497;P51532;P60709;Q12824;Q86X55;Q8TAQ2;Q92922;Q969G3;Q96GM5;Q96KG9	ARID1A;SMARCA4;ACTB;SMARCB1;CARM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1;SCYL1
87	Nup 107-160 subcomplex	P52948;P55735;P57740;Q12769;Q8NFH3;Q8NFH4;Q8WUM0;Q96EE3;Q9BW27	NUP98;SEC13;NUP107;NUP160;NUP43;NUP37;NUP133;SEH1L;NUP85
91	"FA complex (Fanconi anemia complex), cytoplasmic"	O15287;O15360;Q00597;Q9NPI8	FANCG;FANCA;FANCC;FANCF
92	CD28-transactivation complex	P10747;P19338	CD28;NCL
93	Anaphase-promoting complex	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2
95	Ku antigen-NARG1 complex	P12956;P13010;Q9BXJ9	XRCC6;XRCC5;NAA15
96	Anaphase-promoting complex	P30260;Q13042;Q9H1A4;Q9UJX2;Q9UJX3;Q9UJX4;Q9UJX5;Q9UJX6;Q9UM13	CDC27;CDC16;ANAPC1;CDC23;ANAPC7;ANAPC5;ANAPC4;ANAPC2;ANAPC10
98	p300-MDM2-p53 protein complex	P04637;Q00987;Q09472	TP53;MDM2;EP300
100	hNURF complex	P28370;Q09028;Q12830;Q16576	SMARCA1;RBBP4;BPTF;RBBP7
103	RNA polymerase II holoenzyme complex	O15514;P13984;P18074;P19387;P19388;P19447;P20226;P24928;P29083;P29084;P30876;P32780;P35269;P36954;P52434;P52435;P53803;P61218;P62487;P62875;Q00403;Q13888;Q13889;Q92759	POLR2D;GTF2F2;ERCC2;POLR2C;POLR2E;ERCC3;TBP;POLR2A;GTF2E1;GTF2E2;POLR2B;GTF2H1;GTF2F1;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L;GTF2B;GTF2H2;GTF2H3;GTF2H4
104	RNA polymerase II core complex	O15514;P19387;P19388;P24928;P30876;P36954;P52434;P52435;P53803;P61218;P62487;P62875	POLR2D;POLR2C;POLR2E;POLR2A;POLR2B;POLR2I;POLR2H;POLR2J;POLR2K;POLR2F;POLR2G;POLR2L
107	TFIIH transcription factor complex	P18074;P19447;P32780;P50613;P51946;P51948;Q13888;Q13889;Q92759	ERCC2;ERCC3;GTF2H1;CDK7;CCNH;MNAT1;GTF2H2;GTF2H3;GTF2H4
112	Prefoldin complex	O15212;O60925;P61758;Q99471;Q9NQP4;Q9UHV9	PFDN6;PFDN1;VBP1;PFDN5;PFDN4;PFDN2
114	SNAPc (small nuclear RNA-activating protein) complex	O75971;Q13487;Q16533;Q5SXM2;Q92966	SNAPC5;SNAPC2;SNAPC1;SNAPC4;SNAPC3
115	"Polycomb repressive complex 1 (PRC1, hPRC-H)"	O00257;O60264;P0DMV8;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52	CBX4;SMARCA5;HSPA1A;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
116	"Polycomb repressive complex 1 (PRC1, hPRC-H)"	O00257;O60264;P0DMV8;P25490;P35226;P78364;Q06587;Q14781;Q8IXK0;Q8NDX5;Q96GD3;Q99496;Q9HC52	CBX4;SMARCA5;HSPA1A;YY1;BMI1;PHC1;RING1;CBX2;PHC2;PHC3;SCMH1;RNF2;CBX8
117	GPR56-CD81-Galpha(q/11)-Gbeta complex	P29992;P50148;P60033;P62873;Q9Y653	GNA11;GNAQ;CD81;GNB1;ADGRG1
118	GPI-GnT activity complex	P37287;Q14442;Q92535;Q9BRB3	PIGA;PIGH;PIGC;PIGQ
120	Lymphotoxin beta receptor complex	P01374;P36941;Q06643	LTA;LTBR;LTB
123	Rnase/Mrp complex	O75817;O75818;O95059;O95707;P78345;P78346;Q969H6;Q99575;Q9BUL9;Q9H633	POP7;RPP40;RPP14;POP4;RPP38;RPP30;POP5;POP1;RPP25;RPP21
126	CCT complex (chaperonin containing TCP1 complex)	P17987;P40227;P48643;P49368;P50990;P50991;P78371;Q99832	TCP1;CCT6A;CCT5;CCT3;CCT8;CCT4;CCT2;CCT7
127	NDC80 kinetochore complex	O14777;Q8NBT2;Q9BZD4;Q9HBM1	NDC80;SPC24;NUF2;SPC25
129	PIDDsome complex	P42575;P78560;Q9HB75	CASP2;CRADD;PIDD1
138	Telomere-associated protein complex	P54274;Q15554;Q96AP0;Q9BSI4;Q9NUX5;Q9NYB0	TERF1;TERF2;ACD;TINF2;POT1;TERF2IP
140	E-box sequence-binding complex	P25791;Q02577;Q86U70;Q9BXY8	LMO2;NHLH2;LDB1;BEX2
142	CD147-gamma-secretase complex	P35613;P49768;Q92542;Q96BI3;Q9NZ42	BSG;PSEN1;NCSTN;APH1A;PSENEN
143	APP-APBB1-LRP1 complex	O00213;P05067;Q07954	APBB1;APP;LRP1
144	Gamma-BAR-AP1 complex	O43747;O75843;P56377;P61966;Q10567;Q63HQ0;Q96PC3;Q9BXS5;Q9Y6Q5	AP1G1;AP1G2;AP1S2;AP1S1;AP1B1;AP1AR;AP1S3;AP1M1;AP1M2
149	PBAF complex (Polybromo- and BAF containing complex)	O96019;P51532;P60709;Q12824;Q68CP9;Q86U86;Q8TAQ2;Q92922;Q969G3;Q96GM5	ACTL6A;SMARCA4;ACTB;SMARCB1;ARID2;PBRM1;SMARCC2;SMARCC1;SMARCE1;SMARCD1
152	TFIIE complex	P29083;P29084	GTF2E1;GTF2E2
153	TFIIF complex (transcription factor IIF)	P13984;P35269	GTF2F2;GTF2F1
155	TFIID complex	O00268;P20226;P21675;P49848;Q12962;Q15542;Q15544;Q16594;Q6P1X5	TAF4;TBP;TAF1;TAF6;TAF10;TAF5;TAF11;TAF9;TAF2
156	Retrotranslocation complex	P57678;Q86TM6;Q9BUN8	GEMIN4;SYVN1;DERL1
159	Condensin I-PARP-1-XRCC1 complex	O95347;P09874;P18887;Q15003;Q15021;Q9BPX3;Q9NTJ3	SMC2;PARP1;XRCC1;NCAPH;NCAPD2;NCAPG;SMC4
160	Condensin II	O95347;P42695;Q6IBW4;Q86XI2;Q9NTJ3	SMC2;NCAPD3;NCAPH2;NCAPG2;SMC4
162	COG complex	P83436;Q14746;Q8WTW3;Q96JB2;Q96MW5;Q9H9E3;Q9UP83;Q9Y2V7	COG7;COG2;COG1;COG3;COG8;COG4;COG5;COG6
164	Cohesin-SA1 complex	O60216;Q14683;Q8WVM7;Q9UQE7	RAD21;SMC1A;STAG1;SMC3
166	Cohesin-SA2 complex	O60216;Q14683;Q8N3U4;Q9UQE7	RAD21;SMC1A;STAG2;SMC3
168	"Protein-sorting ternary complex (EPS15, HGS, STAM2)"	O14964;O75886;P42566	HGS;STAM2;EPS15
169	"Protein-sorting ternary complex (EPS15, HGS, STAM1)"	O14964;P42566;Q92783	HGS;EPS15;STAM
173	MRN complex	O60934;P49959;Q92878	NBN;MRE11;RAD50
178	"Respiratory chain complex I (holoenzyme), mitochondrial"	O00217;O00483;O14561;O15239;O43181;O43674;O43676;O43677;O43678;O43920;O75251;O75306;O75380;O75438;O75489;O95139;O95167;O95168;O95169;O95178;O95182;O95298;O95299;O96000;P03886;P03891;P03897;P03901;P03915;P03923;P17568;P19404;P28331;P49821;P51970;P56181;P56556;Q16718;Q16795;Q86Y39;Q9NX14;Q9P0J0;Q9UI09;Q9Y6M9	NDUFS8;NDUFA4;NDUFAB1;NDUFA1;NDUFS4;NDUFB5;NDUFB3;NDUFC1;NDUFA2;NDUFS5;NDUFS7;NDUFS2;NDUFS6;NDUFB1;NDUFS3;NDUFB6;NDUFA3;NDUFB4;NDUFB8;NDUFB2;NDUFA7;NDUFC2;NDUFA10;NDUFB10;MT-ND1;MT-ND2;MT-ND3;MT-ND4L;MT-ND5;MT-ND6;NDUFB7;NDUFV2;NDUFS1;NDUFV1;NDUFA8;NDUFV3;NDUFA6;NDUFA5;NDUFA9;NDUFA11;NDUFB11;NDUFA13;NDUFA12;NDUFB9
180	PNUTS-PPP1CA complex	P62136;Q96QC0	PPP1CA;PPP1R10
181	26S proteasome	O14818;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P49720;P49721;P55036;P60900;P62191;P62195;P62333;Q99436;Q9UNM6	PSMA7;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMB3;PSMB2;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSMB7;PSMD13
186	Wave-2 complex	Q7L576;Q8IZP0;Q8WUW1;Q9Y2A7;Q9Y6W5	CYFIP1;ABI1;BRK1;NCKAP1;WASF2
189	BAF complex	O14497;O94805;O96019;P51531;P51532;P60709;P63261;Q12824;Q8NFD5;Q8TAQ2;Q92922;Q969G3;Q96GM5	ARID1A;ACTL6B;ACTL6A;SMARCA2;SMARCA4;ACTB;ACTG1;SMARCB1;ARID1B;SMARCC2;SMARCC1;SMARCE1;SMARCD1
190	Mitotic checkpoint complex	O43684;O60566;Q12834;Q13257	BUB3;BUB1B;CDC20;MAD2L1
192	PA28-20S proteasome	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;Q06323;Q99436;Q9UL46	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME1;PSMB7;PSME2
193	PA700-20S-PA28 complex	O00231;O00232;O00233;O00487;O14818;O43242;O75832;P17980;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P35998;P43686;P48556;P49720;P49721;P51665;P55036;P60900;P62191;P62195;P62333;Q06323;Q13200;Q15008;Q16401;Q99436;Q99460;Q9UL46;Q9UNM6	PSMD11;PSMD12;PSMD9;PSMD14;PSMA7;PSMD3;PSMD10;PSMC3;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMC2;PSMC4;PSMD8;PSMB3;PSMB2;PSMD7;PSMD4;PSMA6;PSMC1;PSMC5;PSMC6;PSME1;PSMD2;PSMD6;PSMD5;PSMB7;PSMD1;PSME2;PSMD13
194	PA28gamma-20S proteasome	O14818;P20618;P25786;P25787;P25788;P25789;P28066;P28070;P28072;P28074;P49720;P49721;P60900;P61289;Q99436	PSMA7;PSMB1;PSMA1;PSMA2;PSMA3;PSMA4;PSMA5;PSMB4;PSMB6;PSMB5;PSMB3;PSMB2;PSMA6;PSME3;PSMB7
201	HUIC complex	P38398;Q99728	BRCA1;BARD1
205	"Ubiquitin E3 ligase (VHL, TCEB1, TCEB2, CUL2, RBX1)"	P40337;P62877;Q13617;Q15369;Q15370	VHL;RBX1;CUL2;ELOC;ELOB
207	"Ubiquitin E3 ligase (ASB2, TCEB1, TCEB2, CUL5, RNF7)"	Q15369;Q15370;Q93034;Q96Q27;Q9UBF6	ELOC;ELOB;CUL5;ASB2;RNF7
208	"Ubiquitin E3 ligase (ASB1, TCEB1, TCEB2, CUL5, RNF7)"	Q15369;Q15370;Q93034;Q9UBF6;Q9Y576	ELOC;ELOB;CUL5;RNF7;ASB1
209	"Ubiquitin E3 ligase (ASB6, TCEB1, TCEB2, CUL5, RNF7)"	Q15369;Q15370;Q93034;Q9NWX5;Q9UBF6	ELOC;ELOB;CUL5;ASB6;RNF7
210	"Ubiquitin E3 ligase (ASB7, TCEB1, TCEB2, CUL5, RNF7)"	Q15369;Q15370;Q93034;Q9H672;Q9UBF6	ELOC;ELOB;CUL5;ASB7;RNF7
211	"Ubiquitin E3 ligase (ASB12, TCEB1, TCEB2, CUL5, RNF7)"	Q15369;Q15370;Q8WXK4;Q93034;Q9UBF6	ELOC;ELOB;ASB12;CUL5;RNF7
213	DNA ligase IV-XRCC1 complex	P18887;P49917	XRCC1;LIG4
214	"Ubiquitin E3 ligase (WSB1, TCEB1, TCEB2, CUL5, RBX1)"	P62877;Q15369;Q15370;Q93034;Q9Y6I7	RBX1;ELOC;ELOB;CUL5;WSB1
218	CRSP complex	O43513;O60244;O75448;O95402;Q15648;Q6P2C8;Q9NVC6;Q9ULK4	MED7;MED14;MED24;MED26;MED1;MED27;MED17;MED23
219	CAND1-CUL1-RBX1 complex	P62877;Q13616;Q86VP6	RBX1;CUL1;CAND1
220	ARF-Mule complex	P06748;Q7Z6Z7;Q8N726	NPM1;HUWE1;CDKN2A
221	CAND1-CUL2-RBX1 complex	P62877;Q13617;Q86VP6	RBX1;CUL2;CAND1
222	CAND1-CUL3-RBX1 complex	P62877;Q13618;Q86VP6	RBX1;CUL3;CAND1
223	CAND1-CUL4A-RBX1 complex	P62877;Q13619;Q86VP6	RBX1;CUL4A;CAND1
224	CAND1-CUL4B-RBX1 complex	P62877;Q13620;Q86VP6	RBX1;CUL4B;CAND1
226	"Ubiquitin E3 ligase (SKP1A, SKP2, CUL1)"	P63208;Q13309;Q13616	SKP1;SKP2;CUL1
227	"Ubiquitin E3 ligase (SKP1A, BTRC, CUL1)"	P63208;Q13616;Q9Y297	SKP1;CUL1;BTRC
228	SMCC complex	O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q9Y3C7	MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED31
229	NAT complex	O60244;O75586;P24863;P49336;Q13503;Q9BTT4;Q9ULK4	MED14;MED6;CCNC;CDK8;MED21;MED10;MED23
230	Mediator complex	A0JLT2;O43513;O60244;O75448;O75586;O95402;P24863;P49336;Q13503;Q15528;Q15648;Q6P2C8;Q71F56;Q71SY5;Q93074;Q96G25;Q96HR3;Q96RN5;Q9BTT4;Q9BUE0;Q9BWU1;Q9H204;Q9H944;Q9NPJ6;Q9NVC6;Q9NWA0;Q9NX70;Q9P086;Q9UHV7;Q9ULK4;Q9Y2X0;Q9Y3C7	MED19;MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED22;MED1;MED27;MED13L;MED25;MED12;MED8;MED30;MED15;MED10;MED18;CDK19;MED28;MED20;MED4;MED17;MED9;MED29;MED11;MED13;MED23;MED16;MED31
232	ARC complex	O43513;O60244;O75448;O75586;O95402;Q15648;Q71SY5;Q93074;Q96G25;Q96RN5;Q9NPJ6;Q9NVC6;Q9UHV7;Q9UKU7;Q9ULK4	MED7;MED14;MED24;MED6;MED26;MED1;MED25;MED12;MED8;MED15;MED4;MED17;MED13;ACAD8;MED23
234	HuCHRAC complex	O60264;Q9NRF9;Q9NRG0;Q9NRL2	SMARCA5;POLE3;CHRAC1;BAZ1A
236	WICH complex	O60264;Q9UIG0	SMARCA5;BAZ1B
238	SWI-SNF chromatin remodeling-related-BRCA1 complex	O14497;O96019;P38398;P51531;P51532;Q12824;Q8TAQ2;Q92922;Q92925;Q969G3	ARID1A;ACTL6A;BRCA1;SMARCA2;SMARCA4;SMARCB1;SMARCC2;SMARCC1;SMARCD2;SMARCE1
240	BRCA1-CTIP-ZBRK1 repressor complex	P38398;Q99708;Q9GZX5	BRCA1;RBBP8;ZNF350
242	BRCA1-BACH1 complex	P38398;Q9BX63	BRCA1;BRIP1
243	RalBP1-CDC2-CCNB1 complex	P06493;P14635;Q15311	CDK1;CCNB1;RALBP1
244	BRAFT complex	O15287;O15360;P15927;P27694;P35244;P40692;P54132;Q00597;Q13472;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	FANCG;FANCA;RPA2;RPA1;RPA3;MLH1;BLM;FANCC;TOP3A;RMI1;FANCE;FANCF;FANCL
245	FA core complex (Fanconi anemia core complex)	O15287;O15360;Q00597;Q0VG06;Q8NB91;Q9H9A7;Q9HB96;Q9NPI8;Q9NW38	FANCG;FANCA;FANCC;FAAP100;FANCB;RMI1;FANCE;FANCF;FANCL
246	BLM complex III	P40692;P54132;Q13472;Q9H9A7	MLH1;BLM;TOP3A;RMI1
247	RalBP1-CCNB1-AP2A-NUMB-EPN1 complex	O95782;P14635;P49757;Q15311;Q9Y6I3	AP2A1;CCNB1;NUMB;RALBP1;EPN1
248	BRAFT complex	O15287;O15360;P15927;P27694;P35244;P54132;Q00597;Q13472;Q9HB96;Q9NPI8;Q9NW38	FANCG;FANCA;RPA2;RPA1;RPA3;BLM;FANCC;TOP3A;FANCE;FANCF;FANCL
254	TBPIP/HOP2-MND1 complex	Q9BWT6;Q9P2W1	MND1;PSMC3IP
256	RAD51B-RAD51C complex	O15315;O43502	RAD51B;RAD51C
261	RAD51B-RAD51C-RAD51D-XRCC2-XRCC3 complex	O15315;O43502;O43542;O43543;O75771	RAD51B;RAD51C;XRCC3;XRCC2;RAD51D
262	RAD51L3-XRCC2 complex	O43543;O75771	XRCC2;RAD51D
265	ATR-ATRIP complex	Q13535;Q8WXE1	ATR;ATRIP
266	RAD17-RFC complex	O75943;P35249;P35250;P40937;P40938	RAD17;RFC4;RFC2;RFC5;RFC3
271	9-1-1 complex	O60671;O60921;Q99638	RAD1;HUS1;RAD9A
274	9-1-1-RAD17-RFC complex	O60671;O60921;O75943;P35249;P35250;P40937;P40938;Q99638	RAD1;HUS1;RAD17;RFC4;RFC2;RFC5;RFC3;RAD9A
278	RFC core complex	P35249;P35250;P40937	RFC4;RFC2;RFC5
279	RFC complex	P35249;P35250;P35251;P40937;P40938	RFC4;RFC2;RFC1;RFC5;RFC3
280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	P04406;P09429;P11142;P26583;P30101	GAPDH;HMGB1;HSPA8;HMGB2;PDIA3
282	SNF2h-cohesin-NuRD complex	O60216;O60264;O94776;O95983;Q09028;Q12873;Q13330;Q13547;Q14683;Q16576;Q8N3U4;Q8WVM7;Q92769;Q9NRL2;Q9UBB5;Q9UQE7	RAD21;SMARCA5;MTA2;MBD3;RBBP4;CHD3;MTA1;HDAC1;SMC1A;RBBP7;STAG2;STAG1;HDAC2;BAZ1A;MBD2;SMC3
283	SIN3 complex	O00422;O75446;Q09028;Q13547;Q16576;Q92769;Q96ST3	SAP18;SAP30;RBBP4;HDAC1;RBBP7;HDAC2;SIN3A
284	CRSP complex	O43513;O60244;O75448;O75586;O95402;Q13503;Q15648;Q71SY5;Q96RN5;Q9NVC6;Q9ULK4	MED7;MED14;MED24;MED6;MED26;MED21;MED1;MED25;MED15;MED17;MED23
285	PCNA-MLH1-PMS1 complex	P12004;P40692;P54277	PCNA;MLH1;PMS1
286	PCNA-MSH2-MSH6 complex	P12004;P43246;P52701	PCNA;MSH2;MSH6
287	ARC-L complex	O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4	MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23
288	ARC complex	O43513;O60244;O75448;O75586;O95402;P24863;P49336;Q13503;Q15648;Q71SY5;Q93074;Q96RN5;Q9NVC6;Q9UHV7;Q9ULK4	MED7;MED14;MED24;MED6;MED26;CCNC;CDK8;MED21;MED1;MED25;MED12;MED15;MED17;MED13;MED23
290	MSH2-MLH1-PMS2-PCNA DNA-repair initiation complex	P12004;P40692;P43246;P54278	PCNA;MLH1;MSH2;PMS2
291	MSH2-MLH1-PMS2 DNA-repair initiation complex	P40692;P43246;P54278	MLH1;MSH2;PMS2
297	PCNA-DNA polymerase delta complex	P12004;P28340;P49005;Q15054;Q9HCU8	PCNA;POLD1;POLD2;POLD3;POLD4
298	VEGF transcriptional complex	P27695;P40763;Q16665;Q99966	APEX1;STAT3;HIF1A;CITED1
299	CBP-IRF3 complex	Q14653;Q92793	IRF3;CREBBP
300	PC2 complex	O43513;O60244;O75448;O75586;Q13503;Q6P2C8;Q9BTT4;Q9H944;Q9NVC6;Q9Y2W1;Q9Y2X0;Q9Y3C7	MED7;MED14;MED24;MED6;MED21;MED27;MED10;MED20;MED17;THRAP3;MED16;MED31
301	SMCC complex	O43513;O60244;O75448;O75586;P24863;P49336;Q13503;Q15648;Q6P2C8;Q93074;Q9BTT4;Q9H944;Q9NVC6;Q9UHV7;Q9Y2W1;Q9Y2X0;Q9Y3C7	MED7;MED14;MED24;MED6;CCNC;CDK8;MED21;MED1;MED27;MED12;MED10;MED20;MED17;MED13;THRAP3;MED16;MED31
302	INO80 chromatin remodeling complex	O96019;P15923;Q53TQ3;Q6P4R8;Q6PI98;Q8NBZ0;Q96EZ8;Q9C086;Q9H981;Q9H9F9;Q9ULG1;Q9Y230;Q9Y265	ACTL6A;TCF3;INO80D;NFRKB;INO80C;INO80E;MCRS1;INO80B;ACTR8;ACTR5;INO80;RUVBL2;RUVBL1
304	SRCAP complex	O43257;O95619;O96019;P0C0S5;Q15906;Q6ZRS2;Q96CJ1;Q9GZN1;Q9Y230;Q9Y265	ZNHIT1;YEATS4;ACTL6A;H2AZ1;VPS72;SRCAP;EAF2;ACTR6;RUVBL2;RUVBL1
305	"40S ribosomal subunit, cytoplasmic"	P08708;P08865;P15880;P22090;P23396;P25398;P39019;P42677;P46781;P46782;P46783;P60866;P61247;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62701;P62753;P62841;P62847;P62851;P62854;P62857;P62861;P62979;P63220	RPS17;RPSA;RPS2;RPS4Y1;RPS3;RPS12;RPS19;RPS27;RPS9;RPS5;RPS10;RPS20;RPS3A;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPS4X;RPS6;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPS27A;RPS21
306	"Ribosome, cytoplasmic"	P05386;P05387;P05388;P08708;P08865;P15880;P18077;P18124;P18621;P22090;P23396;P25398;P26373;P27635;P30050;P32969;P35268;P36578;P39019;P39023;P40429;P42677;P42766;P46776;P46777;P46778;P46779;P46781;P46782;P46783;P47914;P49207;P50914;P60866;P61247;P61254;P61313;P61353;P61513;P61927;P62081;P62241;P62244;P62249;P62263;P62266;P62269;P62273;P62277;P62280;P62424;P62701;P62750;P62753;P62829;P62841;P62847;P62851;P62854;P62857;P62861;P62888;P62891;P62899;P62906;P62910;P62913;P62917;P62945;P62979;P62987;P63173;P63220;P83731;P83881;P84098;Q02543;Q02878;Q07020;Q9Y3U8	RPLP1;RPLP2;RPLP0;RPS17;RPSA;RPS2;RPL35A;RPL7;RPL17;RPS4Y1;RPS3;RPS12;RPL13;RPL10;RPL12;RPL9; RPL9P7; RPL9P8; RPL9P9;RPL22;RPL4;RPS19;RPL3;RPL13A;RPS27;RPL35;RPL27A;RPL5;RPL21;RPL28;RPS9;RPS5;RPS10;RPL29;RPL34;RPL14;RPS20;RPS3A;RPL26;RPL15;RPL27;RPL37A;RPL37;RPS7;RPS8;RPS15A;RPS16;RPS14;RPS23;RPS18;RPS29;RPS13;RPS11;RPL7A;RPS4X;RPL23A;RPS6;RPL23;RPS15;RPS24;RPS25;RPS26;RPS28;FAU;RPL30;RPL39;RPL31;RPL10A;RPL32;RPL11;RPL8;RPL41;RPS27A;UBA52;RPL38;RPS21;RPL24;RPL36A;RPL19;RPL18A;RPL6;RPL18;RPL36
